User_id;Active_days;Songs_per_day;Music_genres_per_day;Numer_devices;Proportion_working_time;Searches_per_day;Proportion_popular_songs;NORTHAMERICA;EU;ASIA;Premium_upgrade
42;20;27;3;3;0;4;0.034206198;1;0;0;0
43;222;20;3;1;0;6;0.025490371;1;0;0;0
44;109;31;3;3;0;0;0.018195219;0;0;1;0
45;285;50;4;2;0;0;0.015821234;1;0;0;0
46;334;28;4;1;0.370545951;18;0.022869773;1;0;0;1
47;118;32;3;1;0;4;0.022334535;1;0;0;0
48;147;44;4;1;0;0;0.006319388;1;0;0;0
49;165;45;4;3;0.404456546;0;0.015188611;0;1;0;0
50;50;11;2;1;0;8;0.085467567;0;1;0;0
51;9;22;3;2;0;3;0.030253484;1;0;0;0
52;348;20;2;2;0;16;0.027114875;1;0;0;0
53;101;18;2;3;0;0;0.013031746;0;0;1;0
54;240;40;4;2;0.912537043;11;0.024332738;1;0;0;1
55;230;41;3;3;0;0;0.004438391;0;1;0;0
56;350;31;3;5;0;16;0.007045267;1;0;0;0
57;158;32;3;5;0;19;0.015331759;1;0;0;1
58;278;19;2;1;0;13;0.004468296;0;1;0;0
59;248;85;6;4;0.359673243;0;0.00825319;0;1;0;0
60;49;43;3;1;0;5;0.00665986;0;1;0;0
61;39;24;3;1;0;17;0.023828113;0;0;1;0
62;74;28;3;2;0.696352361;9;0.031451705;0;0;1;0
63;358;24;3;1;0.520128604;2;0.014017899;1;0;0;0
64;182;54;4;2;0;13;0.004480179;0;1;0;0
65;29;42;4;1;0;1;0.011405008;0;1;0;0
66;17;20;3;2;0;13;0.040981549;1;0;0;0
67;51;21;1;2;0;14;0.021058337;0;1;0;0
68;72;23;3;2;0;19;0.029891948;0;1;0;0
69;276;27;4;1;0;0;0.025593122;1;0;0;0
70;217;32;3;3;0.413949619;4;0.004046377;1;0;0;0
71;213;50;5;6;0;0;0.008209299;1;0;0;0
72;349;34;3;2;0;7;0.009319888;1;0;0;0
73;129;33;2;2;0.432906049;0;0.023742691;0;0;1;0
74;149;44;3;2;0.000174407;6;0.003466663;0;0;1;0
75;24;31;2;2;0;1;0.017452802;0;1;0;0
76;141;89;6;1;0;0;0.003712836;1;0;0;0
77;74;33;3;1;0;2;0.00465513;0;0;1;0
78;64;35;2;1;0.288048281;11;0.012740096;0;1;0;0
79;233;65;6;1;0;8;0.005391185;1;0;0;0
80;144;38;3;3;0;15;0.015757631;0;0;1;0
81;104;10;2;6;0;15;0.098016812;0;0;1;0
82;4;37;2;2;0.707664808;0;0.014742353;0;1;0;0
83;136;25;3;3;0;1;0.020771022;1;0;0;0
84;159;18;1;1;0;2;0.047084988;0;0;1;0
85;190;70;4;3;0;8;0.007159572;0;1;0;0
86;226;24;1;2;0;10;0.001340966;0;0;1;0
87;148;80;4;5;0;16;0.001894472;0;0;1;1
88;131;18;2;1;0.101333633;1;0.031187696;0;0;1;0
89;202;22;2;2;0;3;0.025789966;0;0;1;0
90;318;43;3;3;0.329086751;11;0.00467378;0;1;0;0
91;245;34;3;4;0;12;0.018867181;1;0;0;0
92;226;28;3;2;0.022948416;5;0.012429407;0;1;0;0
93;224;49;4;2;0;4;0.010795738;0;0;1;0
94;142;43;4;1;0.766529207;14;0.002156019;1;0;0;1
95;21;28;3;1;0;15;0.026661219;1;0;0;0
96;176;34;2;3;0;0;0.003964031;0;1;0;0
97;89;31;4;2;0;15;0.000241967;1;0;0;0
98;115;56;4;4;0.346611461;20;0.005926711;0;1;0;1
99;228;61;4;3;0;15;0.007542776;0;1;0;0
100;170;37;3;2;0;2;0.003267773;0;1;0;0
101;193;19;3;1;0.271267518;10;0.000107993;1;0;0;1
102;46;33;4;1;0;13;0.004355809;0;0;1;0
103;303;20;4;1;0;12;0.044903884;1;0;0;0
104;167;23;3;2;0;6;0.020281773;0;0;1;0
105;94;46;5;3;0.928624335;11;0.012352902;1;0;0;1
106;319;3;2;5;0;9;0.01377567;1;0;0;0
107;114;31;3;3;0;16;0.005630205;1;0;0;1
108;283;44;3;3;0;0;0.015101846;1;0;0;0
109;158;45;4;4;0.74568034;3;0.009727714;0;1;0;1
110;286;43;2;2;0.186827238;17;0.0041865;0;1;0;0
111;115;23;4;3;0;19;0.004269687;1;0;0;1
112;235;75;6;2;0.709751791;12;0.012579187;1;0;0;1
113;128;46;3;1;0;4;0.012061072;0;0;1;0
114;225;38;3;3;0;17;0.016838505;1;0;0;1
115;286;23;4;1;0;13;0.041382078;1;0;0;0
116;281;72;5;7;0;20;0.007190228;0;1;0;1
117;218;70;5;3;0.672574306;18;0.010254976;1;0;0;1
118;20;45;3;3;0.585666132;5;0.02178947;0;0;1;0
119;259;61;5;3;0.35245566;0;0.005249831;1;0;0;0
120;200;67;5;2;0.943297213;15;0.014236749;0;1;0;1
121;35;52;4;1;0;17;0.002083659;0;1;0;0
122;99;58;3;2;0.982598622;19;0.004438394;0;1;0;1
123;152;84;6;3;0;18;0.009724686;1;0;0;1
124;209;70;4;3;0;20;0.008314905;0;0;1;1
125;265;14;2;3;0;5;0.061855388;0;1;0;0
126;164;55;4;3;0;0;0.002227629;1;0;0;0
127;55;37;3;1;0;5;0.017801517;0;0;1;0
128;3;23;2;3;0;0;0.040411683;0;1;0;0
129;232;45;3;2;0.731395575;11;0.013586402;0;0;1;1
130;282;26;2;3;0.694206252;9;0.018374812;0;1;0;1
131;158;41;4;1;0.720949727;19;0.012673379;0;1;0;1
132;121;57;4;1;0;0;0.008423558;0;1;0;0
133;101;11;1;3;0;0;0.019520559;0;1;0;0
134;85;62;4;2;0;0;0.015533734;0;1;0;0
135;261;75;6;1;0;7;0.012714367;1;0;0;0
136;269;27;4;5;0;19;0.022478342;1;0;0;1
137;220;19;2;3;0;0;0.03103105;0;0;1;0
138;299;64;5;2;0;7;0.012939982;0;1;0;0
139;58;29;3;2;0;17;0.010834804;0;0;1;0
140;56;35;2;1;0.039332912;0;0.007049789;0;0;1;0
141;34;76;6;1;0.694383999;4;0.004278525;1;0;0;0
142;279;22;2;2;0.117829599;1;0.029614886;0;1;0;0
143;260;30;3;3;0;13;0.002602454;0;1;0;0
144;119;46;4;2;0;14;0.020260918;0;0;1;0
145;103;29;1;2;0.190217715;5;0.003791987;0;0;1;0
146;59;20;2;3;0;18;0.02391504;0;0;1;0
147;45;46;4;2;0;11;0.011862022;1;0;0;0
148;59;46;3;1;0.768487432;0;0.003303896;0;0;1;0
149;156;32;4;1;0;18;0.019357271;1;0;0;1
150;237;91;6;2;0.71006556;20;0.003526866;0;0;1;1
151;293;46;5;2;0.345833182;4;0.01661166;1;0;0;0
152;192;46;4;6;0;0;0.020400423;0;1;0;0
153;138;18;3;5;0;0;0.035889441;1;0;0;0
154;285;48;4;1;0.746856966;0;0.006961556;1;0;0;0
155;228;32;3;3;0.647128841;5;0.000385588;0;1;0;1
156;78;17;2;1;0;14;0.040296337;0;0;1;0
157;45;43;4;2;0.916246953;7;0.014274392;1;0;0;1
158;320;36;5;2;0.840066726;0;0.023400179;1;0;0;0
159;102;22;1;6;0;8;0.015797078;0;0;1;0
160;5;27;2;3;0;5;0.02596201;0;0;1;0
161;229;35;4;3;0;4;0.016325464;1;0;0;0
162;22;49;4;3;0;0;0.016964612;1;0;0;0
163;204;34;4;2;0;14;0.027580901;0;0;1;0
164;240;13;2;1;0.144802226;20;0.069554828;0;0;1;1
165;66;24;2;3;0.241837641;1;0.009032293;0;0;1;0
166;8;45;3;3;0;14;0.021466437;0;1;0;0
167;226;37;4;2;0.55969227;2;0.004314868;1;0;0;0
168;74;38;4;1;0;5;0.018494427;1;0;0;0
169;176;49;4;1;0;0;0.014133098;0;1;0;0
170;130;31;3;3;0;0;0.028207326;0;1;0;0
171;151;35;4;1;0.834934946;3;0.015906837;1;0;0;1
172;102;77;5;2;0;12;0.011769884;0;0;1;0
173;116;33;3;1;0;16;0.012924914;0;1;0;0
174;46;37;3;1;0.650626192;8;0.002021944;0;0;1;0
175;7;23;3;3;0;1;0.003862556;1;0;0;0
176;74;61;4;2;0.928125989;6;0.002807364;0;1;0;1
177;169;27;3;2;0;10;0.033516397;0;0;1;0
178;116;73;5;5;0;13;0.01269795;0;1;0;0
179;337;49;4;3;0.954450018;10;0.014972416;1;0;0;1
180;95;35;4;2;0;18;0.02762495;1;0;0;1
181;319;54;3;1;0.932290296;11;0.014689166;0;1;0;1
182;199;30;2;1;0;10;0.03011366;0;0;1;0
183;206;45;2;3;0.113525584;16;0.021201747;0;1;0;1
184;202;25;3;3;0;6;0.014759294;0;0;1;0
185;130;37;2;2;0.758643957;14;0.009228308;0;0;1;1
186;90;27;3;2;0;0;0.002704797;0;0;1;0
187;86;19;2;3;0.4520068;0;0.042552529;0;0;1;0
188;322;60;6;2;0;4;0.001506314;1;0;0;0
189;156;14;3;2;0;12;0.004115729;1;0;0;0
190;127;51;3;2;0.901335771;20;0.015200603;0;1;0;1
191;78;72;5;3;0;5;0.002601785;1;0;0;0
192;156;15;3;1;0;7;0.032732495;0;0;1;0
193;0;43;3;1;0;14;0.006930423;1;0;0;0
194;326;32;3;2;0;3;0.002283599;1;0;0;0
195;237;14;2;2;0;20;0.057000882;1;0;0;1
196;111;19;2;5;0;11;0.041624736;0;0;1;0
197;89;68;5;3;0;19;0.007398118;0;1;0;1
198;162;63;5;2;0.939650585;0;0.011388003;0;0;1;1
199;21;90;6;2;0.627367913;19;0.007945777;0;1;0;1
200;58;99;5;2;0;9;0.00280871;0;1;0;0
201;10;18;1;1;0;13;0.042821844;0;0;1;0
202;31;24;3;3;0;12;0.038565794;1;0;0;0
203;159;24;2;2;0;20;0.027565523;0;1;0;1
204;80;53;3;1;0;1;0.013834624;0;0;1;0
205;135;55;4;3;0;14;0.003086014;0;1;0;0
206;237;53;5;2;0;19;0.004728578;0;1;0;1
207;283;61;3;2;0;13;0.002362492;0;1;0;0
208;160;62;4;3;0.73143224;4;0.006455441;0;0;1;1
209;103;46;4;2;0.753688943;2;0.018084958;0;1;0;0
210;308;3;2;3;0;5;0.125531133;1;0;0;0
211;284;59;4;3;0.890193548;0;0.00767336;0;1;0;0
212;9;23;3;1;0;8;0.030981096;0;0;1;0
213;240;46;4;1;0;15;0.004328618;0;0;1;0
214;41;73;5;2;0.776554772;7;0.012895609;1;0;0;1
215;28;57;5;1;0.478019809;18;0.008927909;0;0;1;0
216;62;71;5;3;0;5;0.000123875;0;0;1;0
217;117;14;3;2;0;4;0.070673953;0;0;1;0
218;204;61;6;1;0;9;0.014038103;1;0;0;0
219;97;28;3;3;0;0;0.030421776;1;0;0;0
220;138;29;2;2;0;0;0.033829458;0;1;0;0
221;170;57;5;1;0;18;0.017472419;0;0;1;1
222;155;36;3;1;0;9;0.02348228;0;0;1;0
223;85;24;2;1;0;6;0.022991239;0;1;0;0
224;165;34;2;2;0;9;0.00774084;0;1;0;0
225;66;33;3;3;0.998725088;16;0.015830035;0;0;1;1
226;227;64;5;3;0.344345588;6;0.000807032;1;0;0;1
227;142;22;3;3;0;12;0.004053102;0;0;1;0
228;127;30;2;3;0;0;0.022495885;0;1;0;0
229;97;30;3;3;0;8;0.029438568;0;0;1;0
230;32;20;3;3;0;16;0.021561767;0;1;0;0
231;109;48;5;3;0.735657001;9;0.001076137;1;0;0;1
232;89;44;5;2;0.440596673;13;0.009227603;1;0;0;1
233;46;34;2;3;0.520948931;3;0.00832768;0;0;1;0
234;228;27;3;7;0;0;0.030781708;0;0;1;0
235;213;44;4;2;0;0;0.014365983;0;1;0;0
236;168;100;5;4;0;9;0.000500265;0;0;1;0
237;283;34;3;3;0;19;0.01708387;0;1;0;0
238;153;89;5;1;0;10;0.000325134;0;0;1;0
239;80;18;1;2;0;0;0.050717938;0;0;1;0
240;245;39;3;1;0;18;0.016008247;1;0;0;1
241;184;7;2;1;0;4;0.05680997;1;0;0;0
242;296;64;4;3;0;7;0.005364469;0;1;0;0
243;108;54;3;4;0;13;0.01557553;0;0;1;0
244;105;23;3;3;0;9;0.042170931;0;0;1;0
245;101;23;2;3;0;11;0.039479195;0;1;0;0
246;14;45;3;2;0;11;0.012708826;0;0;1;0
247;210;20;1;2;0;5;0.019648691;0;1;0;0
248;201;75;6;2;0;4;0.009021312;1;0;0;0
249;111;21;4;3;0;6;0.013250476;1;0;0;0
250;15;33;2;3;0.320099085;6;0.003270021;0;1;0;0
251;139;30;3;1;0.502285034;2;0.017262668;0;0;1;0
252;44;30;3;2;0;16;0.031295713;0;1;0;0
253;161;30;3;3;0.626681132;9;0.011971661;0;1;0;1
254;82;22;1;1;0;11;0.037472456;0;0;1;0
255;222;43;3;1;0;2;0.00986036;0;0;1;0
256;232;36;3;6;0;14;0.005831672;0;0;1;0
257;133;43;3;1;0;9;0.016332417;0;0;1;0
258;91;30;3;3;0.331998927;19;0.024387226;0;0;1;1
259;222;82;4;4;0.952067252;17;0.003993193;0;0;1;1
260;114;19;2;1;0;0;0.043762528;0;0;1;0
261;72;62;5;3;0;5;0.006820425;1;0;0;0
262;160;48;4;2;0.441401403;5;0.009773385;0;1;0;0
263;114;10;2;3;0;0;0.092662914;1;0;0;0
264;157;48;3;1;0.561357263;14;0.020361986;0;1;0;1
265;75;40;5;1;0.799743587;12;0.001332246;1;0;0;1
266;168;41;4;4;0.417306511;0;0.007097395;0;0;1;0
267;141;18;2;1;0.039631701;14;0.009114534;0;0;1;0
268;41;21;1;1;0;8;0.021815906;0;0;1;0
269;84;60;3;1;0;0;0.006396046;0;1;0;0
270;40;29;1;3;0;18;0.009428639;0;1;0;0
271;171;29;2;3;0;0;0.032018995;0;1;0;0
272;270;43;4;3;0;0;0.009318627;0;1;0;0
273;263;94;6;3;0.814402407;16;0.007131887;1;0;0;1
274;133;52;4;2;0;19;0.006552872;0;1;0;1
275;326;52;4;7;0.291227395;4;0.002230782;1;0;0;0
276;308;34;3;3;0;6;0.016028232;1;0;0;0
277;212;22;2;1;0;5;0.018066275;0;1;0;0
278;75;30;2;2;0;20;0.01925612;0;1;0;0
279;272;36;2;3;0;9;0.02006043;0;1;0;0
280;156;56;6;3;0.975059131;17;0.010130614;1;0;0;1
281;4;67;6;2;0.240169644;8;0.004172649;1;0;0;0
282;333;44;4;2;0;14;0.016783141;1;0;0;0
283;64;103;6;2;0.981406765;6;0.007253282;0;0;1;1
284;273;25;3;3;0.33062842;1;0.014148147;1;0;0;0
285;223;88;7;3;0.421610728;0;0.00286461;1;0;0;0
286;126;25;3;2;0;17;0.01974583;1;0;0;1
287;170;55;4;3;0;1;0.004438243;0;1;0;0
288;288;28;3;3;0;1;0.017124477;1;0;0;0
289;227;36;3;1;0.456291935;0;0.007595889;0;1;0;0
290;220;58;4;5;0;0;0.007629715;0;0;1;0
291;300;47;3;6;0.944810269;2;0.021155015;0;1;0;1
292;286;61;4;2;0;19;0.015720445;1;0;0;1
293;66;60;5;3;0;8;0.016005424;0;1;0;0
294;40;39;3;2;0;19;0.009049697;0;0;1;0
295;176;94;7;6;0;9;0.004561863;1;0;0;1
296;4;45;3;2;0;4;0.00752049;0;1;0;0
297;14;56;3;1;0;1;0.007324927;0;1;0;0
298;156;20;2;3;0.081355433;10;0.027326109;0;1;0;0
299;72;23;2;1;0;0;0.008730923;1;0;0;0
300;29;63;4;1;0;0;0.008770825;0;1;0;0
301;96;34;2;1;0;10;0.02464225;0;0;1;0
302;137;59;4;3;0;4;0.000421092;1;0;0;0
303;205;76;5;1;0;12;0.00691916;0;0;1;0
304;124;48;3;1;0;1;0.003748754;0;0;1;0
305;141;12;2;3;0;7;0.040370692;1;0;0;0
306;135;46;5;4;0.952497965;16;0.015726647;1;0;0;1
307;161;86;5;3;0;6;0.000486208;0;1;0;0
308;26;29;2;3;0.185068825;13;0.012208378;0;0;1;0
309;64;37;2;3;0;13;0.02359054;0;1;0;0
310;300;47;4;2;0.915216396;7;0.012420186;1;0;0;1
311;120;29;2;1;0;0;0.022676977;0;0;1;0
312;66;32;4;3;0;10;0.023971315;0;0;1;0
313;308;31;3;1;0;14;0.006536221;1;0;0;0
314;331;36;4;1;0.429055818;17;0.023260576;1;0;0;1
315;101;29;4;2;0;4;0.009386993;1;0;0;0
316;121;62;4;1;0.790514311;6;0.003737624;0;0;1;1
317;191;30;3;2;0;15;0.026067526;0;1;0;1
318;128;35;3;2;0.715801862;16;0.010910863;0;1;0;1
319;27;22;3;3;0;13;0.031876237;0;1;0;0
320;23;73;5;2;0;20;0.001313324;0;0;1;0
321;124;29;3;2;0;0;0.018007114;0;1;0;0
322;245;32;2;1;0;20;0.024441364;0;1;0;1
323;74;18;2;3;0.272725417;20;0.001356677;0;0;1;1
324;97;45;4;2;0.878090761;0;0.004646825;1;0;0;1
325;236;22;3;1;0;0;0.045407107;1;0;0;0
326;202;17;2;2;0;19;0.04496574;0;0;1;1
327;205;20;3;3;0;0;0.037647657;0;1;0;0
328;74;39;3;1;0.417890243;0;0.019399545;0;0;1;0
329;219;95;7;2;0.768621421;16;0.001748275;1;0;0;1
330;166;19;2;2;0;0;0.038702108;0;0;1;0
331;244;28;3;6;0;0;0.008623427;0;1;0;0
332;240;38;2;3;0;15;0.015392207;0;0;1;0
333;48;28;3;3;0;2;0.018992112;0;0;1;0
334;107;65;5;3;0;0;0.01006309;0;0;1;0
335;72;66;4;3;0;10;0.014112036;0;0;1;0
336;216;40;4;3;0.391576334;8;0.01213657;1;0;0;1
337;76;16;2;1;0;10;0.052620355;0;0;1;0
338;179;27;3;2;0;7;0.003303526;1;0;0;0
339;121;33;2;1;0;19;0.018038005;0;1;0;0
340;312;44;4;1;0;6;0.014174852;1;0;0;0
341;218;20;2;1;0;0;0.024549224;0;1;0;0
342;173;14;1;2;0;0;0.031141264;0;1;0;0
343;119;55;3;3;0;12;0.01074688;0;1;0;0
344;89;72;4;3;0;0;0.004356412;0;0;1;0
345;214;34;4;6;0.626553435;14;0.014336537;1;0;0;1
346;216;29;4;7;0;6;0.023623286;1;0;0;0
347;89;12;2;1;0;0;0.02198655;1;0;0;0
348;121;63;5;2;0;4;0.015662614;0;0;1;0
349;176;30;3;1;0;5;0.031954165;0;0;1;0
350;289;43;5;5;0;0;0.017733968;1;0;0;0
351;135;54;5;6;0.685893277;5;0.005223503;1;0;0;1
352;6;28;3;3;0;18;0.035294804;1;0;0;0
353;302;48;4;2;0;12;0.01021823;1;0;0;0
354;110;80;5;1;0.038432733;0;0.011203643;0;0;1;0
355;41;34;4;1;0.768710367;0;0.00671294;1;0;0;0
356;155;21;2;2;0;5;0.010100785;0;1;0;0
357;307;24;3;2;0;7;0.003495385;1;0;0;0
358;283;28;3;2;0.949078656;6;0.017134168;1;0;0;1
359;336;17;2;2;0;3;0.033027338;1;0;0;0
360;169;35;5;2;0;7;0.010328537;1;0;0;0
361;33;39;2;1;0;0;0.00884653;0;0;1;0
362;34;45;3;2;0.901795735;0;0.020260873;0;1;0;0
363;101;59;3;2;0;7;0.0003802;0;0;1;0
364;109;39;5;2;0;13;0.009187608;1;0;0;0
365;177;28;3;1;0;0;0.009726004;0;0;1;0
366;154;68;5;2;0.978074276;7;0.01435777;1;0;0;1
367;155;27;3;5;0.194415821;0;0.005451765;1;0;0;0
368;40;38;4;2;0.111561455;0;0.025866059;0;0;1;0
369;171;19;2;3;0;14;0.016560288;0;0;1;0
370;296;47;3;3;0.107659639;0;0.020455527;1;0;0;0
371;176;53;5;1;0;3;0.004884007;1;0;0;0
372;259;79;6;1;0.003623803;18;0.012205474;0;1;0;0
373;195;47;4;2;0.703123684;1;0.014915379;1;0;0;1
374;173;48;3;3;0;18;0.009998009;0;0;1;1
375;44;77;5;1;0;5;0.001049625;0;0;1;0
376;214;32;3;3;0;7;0.013290519;0;1;0;0
377;38;25;4;3;0;19;0.029710698;1;0;0;0
378;215;45;4;4;0;12;0.011824828;0;1;0;0
379;240;17;1;2;0;7;0.057672116;0;0;1;0
380;177;26;1;1;0;17;0.002116811;0;1;0;1
381;194;40;4;2;0;0;0.018062504;0;1;0;0
382;113;86;6;3;0;20;0.006814056;0;0;1;1
383;89;43;4;1;0;17;0.010208796;0;0;1;0
384;273;83;5;2;0.785316199;0;0.005048753;0;1;0;0
385;208;26;3;1;0;7;0.009815825;0;0;1;0
386;181;49;2;1;0;0;0.012678767;0;0;1;0
387;6;37;3;3;0.801799191;6;0.024052472;0;1;0;0
388;18;19;4;3;0.091795445;13;0.002127152;1;0;0;0
389;111;70;5;6;0;3;0.012034965;0;0;1;0
390;172;21;2;1;0;6;0.0023549;0;0;1;0
391;201;40;3;2;0.088753626;15;0.002292021;0;0;1;0
392;25;21;2;1;0;4;0.002308957;0;1;0;0
393;178;61;5;1;0.518296474;5;0.010766756;0;0;1;0
394;264;32;2;1;0;4;0.00355053;0;1;0;0
395;85;20;2;1;0.762376197;9;0.034798034;1;0;0;1
396;223;23;1;1;0;11;0.006669096;0;0;1;0
397;67;59;3;1;0.392160275;0;0.001728983;0;0;1;0
398;56;22;2;3;0;8;0.028544321;0;0;1;0
399;175;32;3;5;0;13;0.027655213;0;0;1;1
400;322;43;5;4;0.578719189;0;0.013850401;1;0;0;0
401;247;82;5;3;0;14;0.002415725;0;1;0;0
402;116;59;4;2;0;0;0.005884698;0;0;1;0
403;16;33;4;3;0;16;0.027207058;1;0;0;0
404;77;43;3;1;0.627285429;17;0.006446366;0;1;0;1
405;261;60;4;5;0.358867288;13;0.016377867;0;1;0;1
406;58;99;7;1;0.764597811;14;0.008926522;0;1;0;1
407;203;26;2;3;0.189671361;12;0.020346118;0;1;0;1
408;318;40;5;2;0;0;0.003783056;1;0;0;0
409;201;20;3;1;0;9;0.020992934;0;0;1;0
410;218;24;4;2;0;20;0.017632178;1;0;0;1
411;67;20;1;2;0;18;0.028969806;0;0;1;0
412;33;70;4;3;0;7;0.009651707;0;0;1;0
413;275;81;7;3;0.488919699;10;0.009581218;1;0;0;1
414;199;15;1;1;0;8;0.02080387;0;1;0;0
415;149;30;3;3;0;5;0.000690659;0;0;1;0
416;35;33;3;2;0.335055543;3;0.024873223;1;0;0;0
417;309;57;4;2;0;0;0.000811252;0;1;0;0
418;192;45;5;3;0;2;0.0172745;1;0;0;0
419;43;54;4;2;0.618937736;9;0.003318886;0;0;1;0
420;138;46;3;3;0;9;0.019680392;0;0;1;0
421;212;64;6;1;0;0;0.009397686;1;0;0;0
422;18;43;4;1;0;14;0.007603747;1;0;0;0
423;308;11;3;3;0;8;0.066095818;1;0;0;0
424;44;52;3;1;0;0;0.017768767;0;0;1;0
425;234;16;3;6;0;1;0.050266595;0;0;1;0
426;232;68;5;7;0.647291424;13;0.004146187;0;0;1;1
427;276;33;3;3;0;15;0.022596789;1;0;0;0
428;108;32;3;2;0.134781374;7;0.017809226;0;0;1;0
429;189;27;4;2;0.020735186;8;0.034511668;1;0;0;0
430;317;39;3;1;0;16;0.010039622;1;0;0;0
431;211;27;2;3;0.502037434;0;0.022385455;0;0;1;0
432;291;57;5;5;0;20;0.0161259;1;0;0;1
433;317;22;2;2;0;0;0.040914267;0;1;0;0
434;36;21;3;1;0;8;0.027941917;0;1;0;0
435;258;66;5;3;0;0;0.008712447;1;0;0;0
436;46;30;2;2;0;3;0.015098643;0;0;1;0
437;75;40;2;2;0;0;0.008511862;0;0;1;0
438;309;22;1;2;0;17;0.01351448;0;1;0;0
439;327;40;4;3;0;0;0.014035794;1;0;0;0
440;237;67;5;2;0.122655837;18;0.007373835;1;0;0;1
441;252;39;4;3;0;3;0.018068112;0;1;0;0
442;85;16;3;1;0;12;0.000913439;0;1;0;0
443;184;66;5;4;0.587469895;17;0.014150071;1;0;0;1
444;312;19;2;7;0;0;0.038279833;1;0;0;0
445;194;35;2;1;0;6;0.019940453;0;0;1;0
446;174;14;1;1;0;4;0.041157309;0;1;0;0
447;254;31;4;3;0.976355647;18;0.018983976;1;0;0;1
448;286;22;3;4;0;8;0.008916635;1;0;0;0
449;286;52;5;1;0;18;0.011307221;1;0;0;0
450;176;30;3;3;0.8602653;9;0.001641459;0;0;1;1
451;241;65;5;3;0;1;0.010034574;1;0;0;0
452;237;46;4;1;0.737441319;2;0.007425596;0;1;0;0
453;77;21;2;3;0.346137502;10;0.02832095;0;1;0;0
454;255;9;3;1;0;15;0.024171437;1;0;0;0
455;198;39;3;3;0;15;0.001099124;0;0;1;0
456;126;30;3;1;0;0;0.008497614;0;1;0;0
457;18;77;7;3;0;15;0.009030909;1;0;0;0
458;104;17;2;2;0;12;0.00351702;1;0;0;0
459;96;29;2;2;0.59649085;0;0.003883052;0;0;1;0
460;264;2;1;2;0;0;0.325656392;0;1;0;0
461;298;65;6;2;0.161465747;5;0.010181122;1;0;0;0
462;31;50;3;1;0.83766966;0;0.017241299;0;0;1;0
463;63;71;5;2;0;4;0.013407414;0;0;1;0
464;278;30;3;1;0;14;0.024179739;1;0;0;0
465;223;41;5;1;0;5;0.01304123;1;0;0;0
466;286;23;2;2;0.400808154;0;0.022778235;0;1;0;0
467;2;33;2;2;0;0;0.030222949;0;1;0;0
468;204;55;3;2;0;6;0.012276852;0;0;1;0
469;91;36;2;1;0;0;0.008816029;0;1;0;0
470;54;23;3;1;0;0;0.038915858;0;1;0;0
471;199;33;3;3;0;0;0.026291118;0;1;0;0
